"shop_id","domain_url","domain_registration_date","is_young_domain","contact_email","logo_url","legitimate"
"1118","https://www.vynokerai.lt","2020-08-11 00:00:00","0","2","1","1"
"1119","https://store.dji.com/l","1996-01-16 05:00:00","0","3","1","1"
"1120","https://www.emporiumcosplay.com","2023-06-30 03:27:00","1","0","1","0"
"1121","https://www.chasin.com","2000-02-23 09:08:00","0","2","1","1"
"1122","https://patakhay.com","2023-07-14 08:18:00","1","0","0","0"
"1123","https://www.scandinavian-lifestyle.de","","2","2","1","1"
"1124","https://q2wholesale.nl","2014-02-11 00:00:00","0","2","1","1"
"1125","https://sockwell.eu","","2","2","1","1"
"1126","https://mythsandmagic.myshopify.com","2006-03-03 03:01:00","0","1","1","1"
"1127","https://cottonstories.pl","2020-04-23 19:17:00","0","2","1","1"
"1128","https://fabrap.co","2018-10-09 10:24:00","0","2","1","1"
"1129","https://www.knitwearonlienshop.com","2023-07-27 04:53:00","1","0","1","0"
"1130","https://nikinclothing.com","2017-02-01 23:41:00","0","2","1","1"
"1131","https://www.gardentoolhome.com","2023-07-03 00:00:00","1","0","1","0"
"1132","https://www.chichomeitem.com","2023-06-21 06:35:00","1","3","1","0"
"1133","https://www.adventuregearup.com","2023-07-07 00:00:00","1","0","1","0"
"1134","https://sportfits.eu","","2","2","1","1"
"1135","https://www.tinneystoys.com","2014-05-13 16:16:00","0","0","1","1"
"1136","https://kalistara.lt","2015-01-30 00:00:00","0","0","0","1"
"1137","https://www.allkindsoftools.com","2023-06-05 00:00:00","1","0","1","0"
"1138","https://www.arlton.shop","","0","3","1","0"
"1139","https://www.ghingwala.shop","","0","0","0","0"
